Aug_1-6933834201																	
VFclass	Virulence factors	Related genes	ma102(Prediction)	P.aeruginosa LESB58 	P.aeruginosa PA7 	P.aeruginosa PAO1 	P.aeruginosa UCBPP-PA14 	P.entomophila L48 	P.fluorescens Pf-5 	P.fluorescens Pf0-1 	P.mendocina ymp 	P.putida KT2440 	P.putida W619 	P.stutzeri A1501 	P.syringae pv. phaseolicola 1448A 		P.syringae pv. syringae B728a 
	T2SS (Type II secretion system)(Shigella)	gspE	MMBGCLAI_03440	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	T4SS effectors(Coxiella)		MMBGCLAI_01103	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	T6SS-III(Klebsiella)		MMBGCLAI_00570	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Toxin	Exolysin	exlA	-	-	PSPA7_4642	-	-	PSEEN2177	PFL_4237*	Pfl_3791	-	PP_1449	PputW619_4170	-	-	-	-
		exlB	-	-	PSPA7_4641	-	-	PSEEN2176	PFL_4236	Pfl_3792	-	PP_1450	PputW619_4169	-	-	-	-
	Exotoxin A (ETA)	toxA	-	PLES_41711	-	PA1148	PA14_49560	-	-	-	-	-	-	-	-	-	-
	Hydrogen cyanide production	hcnA	-	PLES_31321	PSPA7_3103	PA2193	PA14_36330	PSEEN5522	PFL_2577	Pfl_3516	-	-	-	-	-	-	-
		hcnB	-	PLES_31311	PSPA7_3102	PA2194	PA14_36320	PSEEN5521	PFL_2578	Pfl_3515	-	-	-	-	-	-	-
		hcnC	-	PLES_31301	PSPA7_3101	PA2195	PA14_36310	PSEEN5520	PFL_2579	Pfl_3514	-	-	-	-	-	-	-
	Phytotoxin coronatine	Undetermined	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		cfa1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		cfa2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		cfa3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		cfa4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		cfa5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		cfa6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		cfa7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		cfa8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		cfa9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		cfl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		cmaA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		cmaB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		cmaC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		cmaD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		cmaE	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		cmaT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		cmaU	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		corP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		corR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Phytotoxin phaseolotoxin	Undetermined	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4299	-
		Undetermined	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4300	-
		Undetermined	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4302	-
		Undetermined	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4303	-
		Undetermined	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4304	-
		Undetermined	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4305	-
		Undetermined	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4306	-
		Undetermined	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4307	-
		Undetermined	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4309	-
		Undetermined	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4310	-
		Undetermined	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4311	-
		Undetermined	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4312	-
		Undetermined	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4314	-
		Undetermined	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4315	-
		Undetermined	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4316	-
		Undetermined	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4317	-
		Undetermined	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4318	-
		argD	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4313	-
		argK	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4319	-
		cysC1	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4301	-
		dcd2	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4308	-
	Phytotoxin syringomycin	syrB1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_2611
		syrB2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_2610
		syrC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_2609
		syrD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_2613
		syrE	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_2608
		syrF	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_2607
		syrP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_2612
	Phytotoxin syringopeptin	sypA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_2614
		sypB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_2615
		sypC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_2616
	TccC-type insecticidal toxins	Undetermined	-	-	-	-	-	PSEEN2485; PSEEN2697; PSEEN2788	-	Pfl_0947; Pfl_0948; Pfl_4455; Pfl_4456	-	-	-	-	-	PSPPH_2571; PSPPH_4042; PSPPH_4043	Psyr_0586; Psyr_1051; Psyr_4032; Psyr_4037; Psyr_4038
Cell surface components	GPL locus(Mycobacterium)	mbtH	MMBGCLAI_02941	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Efflux pump	AcrAB(Klebsiella)		MMBGCLAI_00749	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		acrB	MMBGCLAI_00781	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Fimbrial adherence determinants	Agf/Csg(Salmonella)	csgG	MMBGCLAI_00130	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Immune evasion	Capsule(Acinetobacter)		MMBGCLAI_01920; MMBGCLAI_03021; MMBGCLAI_04420	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	LPS glucosylation(Shigella)	gtrB	MMBGCLAI_00156	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Invasion	Flagella(Burkholderia)	cheB	MMBGCLAI_01814	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Nutritional factor	Allantoin utilization(Klebsiella)		MMBGCLAI_02738	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Others	O-antigen(Yersinia)		MMBGCLAI_02784	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Serum resistance and immune evastion	LPS(Francisella)		MMBGCLAI_04316	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Stress adaptation	Catalase-peroxidase(Mycobacterium)	katG	MMBGCLAI_03415	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Catalase(Neisseria)	katA	MMBGCLAI_04140	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Manganese transport system(Neisseria)	mntB	MMBGCLAI_02399	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	SodCI(Salmonella)	sodCI	MMBGCLAI_03001	-	-	-	-	-	-	-	-	-	-	-	-	-	-
